play B Q16


play W D4
play B Q4


play W D16
play B F3


play W C6
play B J4


play W E3
play B F4


play W L3
play B N3


play W L5
play B K3


play W M3
play B N4


play W K2
play B J2


play W K4
play B J3


play W N2
play B O2


play W M2
play B P3


play W L1
play B K5


play W L4
play B K6


play W L6
play B K7


play W L7
play B K8


play W L8
play B K9


play W L9
play B K10


play W L10
play B K11


play W L11
play B K12


play W L12
play B K13


play W L13
play B K14


play W L14
play B K15


play W M16
play B K17


play W O17
play B R14


play W Q18
play B R17


play W R18
play B S18


play W S19
play B S17


play W F17
play B Q10


play W R13
play B Q13


play W R12
play B Q12


play W R11
play B Q11


play W R10
play B R9


play W S9
play B S8


play W Q9
play B R8


play W P9
play B S10


play W S11
play B T9


play W S14
play B S15


play W Q14
play B R15


play W P14
play B S13


play W T11
play B T10


play W T13
play B T14


play W T12
play B S12


play W P7
play B Q6


play W P6
play B P5


play W O5
play B N5


play W N6
play B O4


play W O6
play B C14


play W C15
play B D14


play W F15
play B C10


play W F13
play B B15


play W B16
play B B14


play W F11
play B C17


play W C16
play B B17


play W A16
play B E18


play W F18
play B E17


play W E16
play B G16


play W F16
play B G14


play W F14
play B G12


play W F12
play B E10


play W F10
play B F9


play W G9
play B G8


play W F8
play B E9


play W G7
play B H8


play W H9
play B H7


play W H6
play B G6


play W F7
play B F6


play W E7
play B D7


play W E6
play B H5


play W D8
play B C8


play W C7
play B D9


play W D6
play B B8


play W B7
play B E8


play W A8
play B A9


play W A7
play B B9


play W D12
play B C12


play W D11
play B C11


play W G13
play B H13


play W H12
play B H11


play W G11
play B J12


play W H14
play B G12


play W J16
play B K16


play W H12
play B H15


play W J13
play B J14


play W H13
play B G15


play W G17
play B H17


play W H18
play B J18


play W H16
play B J15


play W J17
play B H17


play W L18
play B H19


play W G19
play B G18


play W F19
play B H18


play W D17
play B D18


play W C18
play B B18


play W C19
play B B19


play W D19
play B E19


play W C19
play B C18


play W D13
play B C13


play W E14
play B D15


play W A17
play B A18


play W A15
play B A14


play W Q7
play B R6


play W R7
play B S7


play W S6
play B S5


play W T6
play B T5


play W T7
play B T8


play W S6
play B T6


play W F2
play B G2


play W E2
play B G1


play W J1
play B H1


play W K1
play B N1


play W M1
play B O1


play W G3
play B G4


play W F1
play B H3


play W E5
play B O16


play W P17
play B P16


play W N16
play B N14


play W N13
play B O14


play W O13
play B P13


play W M14
play B O12


play W N12
play B N11


play W O11
play B P12


play W N10
play B M11


play W M10
play B O10


play W P10
play B P11


play W O9
play B O11


play W M12
play B Q8


play W P8
play B M5


play W M6
play B L17


play W M17
play B N18


play W M18
play B O18


play W N17
play B P18


play W Q17
play B Q19


play W R19
play B P19


play W N19
play B K19


play W O19
play B L19


play W M19
play B P19


play W O15
play B P15


play W N15
play B O14


play W N14
play B Q15


play W O14
play B H10


play W G10
play B E11


play W E12
play B J9


play W F5
play B G5


play W D7
play B E4


play W C3
play B K18


play W D10
play B C9


play W T18
play B T17


play W T19
play B E15


play W L15
play B L16


play W J16
play B H16


play W Q5
play B R5


play W J10
play B J11


play W J7
play B J6


play W S16
play B T16


play W Q19
play B R16


play W P18
play B J8


play W M4
play B D2


play W D3
play B D1


play W C2
play B C1


play W B1
play B A1


play W A2
play B B2


play W B3
play B B5


play W B4
play B C5


play W D5
play B A4


play W A3
play B A5


play W E1
play B C4


play W A6
play B D1


play W B6
play B C1


play W D2
play B C5


play W B5
play B C1


play W D1
play B N9


play W N8
play B M9


play W M8
play B N9


play W M9
play B N7


play W O7
play B D19


play W M7
play B O18


play W N18
play B J17


play W A12
play B B12


play W A13
play B A11


play W B10
play B A10


play W S11
play B T11


play W R11
play B R10


play W R12
play B R13


play W S11
play B B13


play W R11
play B R12


play W S11
play B R11


play W A13
play B A12


play W T12
play B T13


play W P1
play B P2


play W Q1
play B Q2


